EmployeeID,Timestamp,CommunicationType,Content,KeywordsExtracted,TopicCategory
44,2022-02-28 00:00:00,Email,client resources progress discussion project feedback,"resources, feedback, project",Technical Discussion
32,2022-05-07 00:00:00,Chat,client project meeting resources discussion technical,"feedback, teamwork, resources, client, deadline",General Query
28,2023-07-09 00:00:00,Meeting,resources follow-up client feedback project progress,"project, follow-up, technical, resources",Project Update
24,2023-01-26 00:00:00,Email,resources deadline feedback project meeting client technical discussion progress follow-up,"feedback, progress, follow-up, teamwork, client",Feedback
2,2020-01-08 00:00:00,Chat,client technical project feedback deadline,"progress, resources, teamwork, project",Project Update
27,2023-02-02 00:00:00,Email,follow-up technical discussion progress deadline project resources meeting,"follow-up, deadline, resources, client, progress",General Query
6,2020-11-04 00:00:00,Email,follow-up project resources technical feedback client meeting deadline,"resources, technical, teamwork",Technical Discussion
18,2022-10-12 00:00:00,Meeting,deadline feedback technical meeting client progress project resources discussion follow-up,"resources, progress, feedback",Feedback
6,2023-02-11 00:00:00,Chat,deadline feedback follow-up discussion client technical resources progress meeting,"progress, feedback, follow-up, resources, project",Technical Discussion
45,2021-05-03 00:00:00,Email,project deadline feedback meeting discussion resources follow-up,"technical, client, resources",Project Update
29,2023-10-04 00:00:00,Email,discussion technical meeting feedback follow-up deadline resources client,"deadline, project, resources, teamwork",General Query
47,2021-12-04 00:00:00,Meeting,deadline project feedback resources client progress meeting discussion follow-up,"deadline, progress, follow-up, feedback, resources",Project Update
32,2021-08-27 00:00:00,Chat,follow-up deadline meeting client project technical resources discussion,"follow-up, teamwork, progress",Project Update
41,2021-03-06 00:00:00,Email,meeting project progress discussion technical feedback deadline resources follow-up,"feedback, deadline, technical",General Query
