EmployeeID,SurveyDate,Feedback,SatisfactionScore,SentimentAnalysis
37,2020-05-03,team opportunities support management improvement challenging growth workload training deadlines,Low,Positive
50,2022-01-05,deadlines team workload support challenging management improvement opportunities,Moderate,Negative
17,2023-05-03,growth support challenging opportunities deadlines team management training improvement workload,Low,Negative
10,2021-10-04,management improvement challenging support deadlines,High,Negative
19,2020-03-13,opportunities challenging deadlines training support growth management workload improvement team,High,Positive
43,2021-07-25,training opportunities deadlines team improvement support workload management growth challenging,Moderate,Positive
32,2020-10-05,training workload growth support improvement management,Moderate,Positive
39,2022-12-22,growth team training management workload deadlines,Moderate,Negative
30,2020-06-29,deadlines workload growth support management challenging training,Low,Positive
5,2022-04-07,challenging support deadlines workload training improvement management growth,Low,Positive
40,2020-04-18,opportunities support workload challenging growth team management,Low,Positive
9,2023-04-19,team growth improvement management workload,Low,Positive
19,2021-10-31,improvement challenging opportunities support deadlines training management team,High,Positive
2,2023-05-22,deadlines team improvement training challenging,Moderate,Negative
34,2020-08-30,support opportunities improvement training challenging growth team workload,Low,Neutral
3,2022-11-13,growth challenging management improvement opportunities support training team workload,High,Negative
16,2021-08-27,support team growth opportunities management deadlines challenging workload training improvement,Low,Negative
17,2020-01-22,challenging team support deadlines training workload growth,Moderate,Positive
2,2021-03-11,training workload opportunities deadlines growth management,Low,Positive
41,2020-03-21,challenging training improvement management growth team workload deadlines opportunities support,Low,Positive
37,2020-07-13,growth deadlines management support improvement team,Low,Positive
48,2020-10-17,workload improvement training support growth opportunities team,Moderate,Positive
38,2020-08-14,challenging management team growth support deadlines workload improvement,High,Positive
8,2021-03-12,improvement management workload opportunities challenging support training,Moderate,Positive
5,2022-08-15,challenging support management deadlines training,High,Positive
24,2020-12-09,training opportunities growth deadlines workload management support,High,Positive
36,2020-01-12,challenging workload deadlines management improvement growth support team,High,Negative
4,2020-02-20,support challenging growth workload opportunities management improvement deadlines team,High,Neutral
16,2020-06-15,deadlines team training workload management support improvement growth challenging,High,Positive
29,2023-05-10,team training support opportunities improvement challenging workload deadlines growth,Low,Positive
6,2023-02-28,opportunities support deadlines workload growth training improvement team challenging management,Moderate,Negative
14,2022-10-28,opportunities team training growth management improvement workload support challenging deadlines,High,Positive
7,2022-04-10,deadlines team challenging management support opportunities improvement,Moderate,Neutral
28,2023-05-19,growth support team training workload management opportunities improvement,High,Neutral
22,2023-06-19,support team improvement growth challenging workload,High,Neutral
21,2020-12-17,challenging support training workload growth,High,Positive
35,2020-06-13,training challenging opportunities support workload deadlines management team,High,Neutral
24,2020-06-13,deadlines challenging improvement growth workload,Moderate,Neutral
